sale_date,channel,product,category,sales_baht,new_customer,gender,age_group,satisfaction_score,customer_feedback
2025-04-21,Shopee,Wireless Earbuds,Electronics,990,No,Female,55+,2,Very good quality
2025-04-05,Shopee,Bluetooth Speaker,Electronics,1790,No,Female,55+,1,"Great sound, very easy to use"
2025-04-03,Website,Workout Set,Clothing,1290,Yes,Female,35-44,5,Very good quality
2025-04-23,LINE OA,Workout Set,Clothing,1290,No,Female,45-54,5,UI is not very smooth
2025-04-26,Shopee,Smartwatch,Electronics,2290,No,Male,55+,3,UI is not very smooth
2025-04-05,Website,Sweatpants,Clothing,990,Yes,Female,35-44,1,Fits well and comfortable
2025-04-04,Lazada,Sweatpants,Clothing,990,No,Male,35-44,1,Looks better than the picture
2025-04-15,Shopee,Jacket,Clothing,1590,Yes,Male,45-54,5,UI is not very smooth
2025-04-27,Lazada,Workout Set,Clothing,1290,Yes,Female,35-44,1,Full features but battery drains fast
2025-04-08,Lazada,Bluetooth Speaker,Electronics,1790,Yes,Male,35-44,1,Fits well and comfortable
2025-04-09,LINE OA,Sweatpants,Clothing,990,Yes,Male,35-44,3,Bluetooth connection issue
2025-04-07,Lazada,Bluetooth Speaker,Electronics,1790,Yes,Male,25-34,5,Looks better than the picture
2025-04-08,Website,Polo Shirt,Clothing,690,No,Male,18-24,3,Full features but battery drains fast
2025-04-23,Website,Sweatpants,Clothing,990,Yes,Male,25-34,2,"Great sound, very easy to use"
2025-04-26,Lazada,Jacket,Clothing,1590,No,Male,35-44,1,Very good quality
2025-04-30,Lazada,Workout Set,Clothing,1290,No,Male,18-24,4,Full features but battery drains fast
2025-04-15,Website,Premium T-shirt,Clothing,590,Yes,Male,55+,2,Looks better than the picture
2025-04-18,Lazada,Jacket,Clothing,1590,No,Male,25-34,3,Very good quality
2025-04-05,LINE OA,Bluetooth Speaker,Electronics,1790,Yes,Male,25-34,1,Battery drains quickly
2025-04-21,Website,Jacket,Clothing,1590,Yes,Female,25-34,4,Fits well and comfortable
2025-04-20,LINE OA,Premium T-shirt,Clothing,590,Yes,Male,45-54,1,Full features but battery drains fast
2025-04-29,Lazada,Sweatpants,Clothing,990,Yes,Male,35-44,3,Fits well and comfortable
2025-04-06,LINE OA,Wireless Earbuds,Electronics,990,No,Female,55+,5,"Very fast delivery, excellent service"
2025-04-06,Shopee,Premium T-shirt,Clothing,590,Yes,Female,55+,2,Bluetooth connection issue
2025-04-25,Website,Wireless Earbuds,Electronics,990,No,Female,55+,4,"Great sound, very easy to use"
2025-04-04,Lazada,Premium T-shirt,Clothing,590,Yes,Male,35-44,1,Very good quality
2025-04-29,Shopee,Bluetooth Speaker,Electronics,1790,No,Male,18-24,1,"Very fast delivery, excellent service"
2025-04-18,Website,Smartwatch,Electronics,2290,No,Male,25-34,5,Battery drains quickly
2025-04-09,LINE OA,Workout Set,Clothing,1290,Yes,Female,35-44,3,Fits well and comfortable
2025-04-22,Lazada,Polo Shirt,Clothing,690,No,Male,25-34,1,Very good quality
2025-04-08,Shopee,Sweatpants,Clothing,990,Yes,Male,35-44,5,Slightly dented box
2025-04-08,Website,Wireless Earbuds,Electronics,990,Yes,Female,25-34,1,Very good quality
